Row;BM-CLC;BM-MEGAHIT;BM-MetaSPADES;CH-MetaSPADES;SH-CLC
connectedComponent0000;1;1;1;1;1;
connectedComponent0001;1;1;1;1;0;
connectedComponent0002;1;1;1;1;1;
connectedComponent0003;0;0;1;1;0;
connectedComponent0004;1;0;1;1;0;
connectedComponent0005;1;1;1;1;1;
connectedComponent0006;1;1;1;1;1;
connectedComponent0007;1;0;1;1;0;
connectedComponent0008;1;1;1;1;1;
connectedComponent0009;1;1;1;1;1;
connectedComponent0010;1;1;1;1;1;
connectedComponent0011;0;0;1;1;0;
connectedComponent0012;0;0;1;1;0;
connectedComponent0013;0;0;1;1;0;
connectedComponent0014;1;1;1;1;1;
connectedComponent0015;0;0;1;1;0;
connectedComponent0016;1;1;1;1;1;
connectedComponent0017;1;1;1;1;1;
connectedComponent0018;0;1;1;1;1;
connectedComponent0019;0;0;1;1;0;
connectedComponent0020;1;1;1;1;1;
connectedComponent0021;0;0;1;1;0;
connectedComponent0022;1;1;1;1;1;
connectedComponent0023;0;0;1;1;0;
connectedComponent0024;0;1;1;1;0;
connectedComponent0025;1;0;1;1;0;
connectedComponent0026;1;1;1;1;1;
connectedComponent0027;1;1;1;1;1;
connectedComponent0028;1;0;1;1;0;
connectedComponent0029;1;1;0;1;1;
connectedComponent0030;0;0;1;1;0;
connectedComponent0031;0;0;1;1;0;
connectedComponent0032;1;0;1;0;0;
connectedComponent0033;0;0;1;1;0;
connectedComponent0034;0;1;1;1;1;
connectedComponent0035;0;0;1;1;0;
connectedComponent0036;0;0;1;1;0;
connectedComponent0037;1;1;1;1;1;
connectedComponent0038;1;1;0;0;1;
connectedComponent0039;0;1;1;1;0;
connectedComponent0040;0;0;1;1;0;
connectedComponent0041;1;1;1;1;1;
connectedComponent0042;1;1;1;1;1;
connectedComponent0043;1;1;1;1;1;
connectedComponent0044;0;0;1;1;0;
connectedComponent0045;1;1;1;1;1;
connectedComponent0046;1;0;1;1;1;
connectedComponent0047;0;0;1;1;0;
connectedComponent0048;0;0;1;1;0;
connectedComponent0049;1;1;1;1;1;
connectedComponent0050;1;1;1;1;1;
connectedComponent0051;0;0;1;1;0;
connectedComponent0052;0;0;1;1;0;
connectedComponent0053;1;0;1;1;0;
connectedComponent0054;1;1;1;1;1;
connectedComponent0055;0;0;1;1;0;
connectedComponent0056;0;0;1;1;0;
connectedComponent0057;1;1;1;1;1;
connectedComponent0058;1;1;1;1;0;
connectedComponent0059;1;1;1;1;0;
connectedComponent0060;0;0;1;1;0;
connectedComponent0061;1;1;1;1;0;
connectedComponent0062;0;0;1;1;0;
connectedComponent0063;1;1;1;1;0;
connectedComponent0064;1;1;1;1;1;
connectedComponent0065;0;0;1;1;0;
connectedComponent0066;0;0;1;1;0;
connectedComponent0067;0;0;1;1;0;
connectedComponent0068;1;1;1;1;0;
connectedComponent0069;0;0;1;1;0;
connectedComponent0070;1;1;1;1;1;
connectedComponent0071;0;0;1;1;0;
connectedComponent0072;1;1;1;0;0;
connectedComponent0073;1;0;0;0;1;
connectedComponent0074;1;0;1;1;0;
