Row;BM-CLC;BM-MEGAHIT;BM-MetaSPADES;CH-MetaSPADES;SH-CLC
connectedComponent0000;1;1;1;1;1;
connectedComponent0001;1;1;1;1;0;
connectedComponent0002;1;1;1;0;0;
connectedComponent0003;1;1;1;1;1;
connectedComponent0004;0;0;1;1;0;
connectedComponent0005;1;0;1;1;0;
connectedComponent0006;1;1;1;1;1;
connectedComponent0007;1;1;1;1;1;
connectedComponent0008;1;0;1;1;0;
connectedComponent0009;1;1;1;1;1;
connectedComponent0010;0;1;1;1;0;
connectedComponent0011;1;1;1;1;1;
connectedComponent0012;1;1;1;1;1;
connectedComponent0013;0;0;1;1;0;
connectedComponent0014;0;0;1;1;0;
connectedComponent0015;1;1;0;0;0;
connectedComponent0016;1;1;1;1;1;
connectedComponent0017;0;0;1;1;0;
connectedComponent0018;0;0;1;1;0;
connectedComponent0019;1;1;1;1;1;
connectedComponent0020;0;1;1;1;1;
connectedComponent0021;0;0;1;1;0;
connectedComponent0022;1;1;1;1;1;
connectedComponent0023;0;0;1;1;0;
connectedComponent0024;1;1;1;1;1;
connectedComponent0025;1;1;1;1;1;
connectedComponent0026;1;0;1;0;0;
connectedComponent0027;0;0;1;1;0;
connectedComponent0028;0;1;1;1;0;
connectedComponent0029;1;0;1;1;0;
connectedComponent0030;1;1;1;1;1;
connectedComponent0031;1;1;1;1;1;
connectedComponent0032;1;0;1;1;0;
connectedComponent0033;1;1;1;1;1;
connectedComponent0034;0;0;1;1;0;
connectedComponent0035;0;0;1;1;0;
connectedComponent0036;0;0;1;1;0;
connectedComponent0037;1;0;1;0;0;
connectedComponent0038;0;1;1;1;1;
connectedComponent0039;1;1;1;1;1;
connectedComponent0040;0;0;1;1;0;
connectedComponent0041;1;1;1;1;1;
connectedComponent0042;1;1;1;1;1;
connectedComponent0043;0;1;1;1;0;
connectedComponent0044;0;0;1;1;0;
connectedComponent0045;0;0;1;1;0;
connectedComponent0046;1;1;1;1;1;
connectedComponent0047;1;1;1;1;1;
connectedComponent0048;1;1;1;1;1;
connectedComponent0049;0;0;1;1;0;
connectedComponent0050;0;1;1;1;0;
connectedComponent0051;1;1;1;1;1;
connectedComponent0052;1;1;1;1;1;
connectedComponent0053;1;0;1;1;0;
connectedComponent0054;1;0;1;1;0;
connectedComponent0055;0;0;1;1;0;
connectedComponent0056;1;1;1;1;1;
connectedComponent0057;1;1;1;1;1;
connectedComponent0058;0;0;1;1;0;
connectedComponent0059;0;0;1;1;0;
connectedComponent0060;1;1;1;1;1;
connectedComponent0061;0;0;1;1;0;
connectedComponent0062;0;0;1;1;0;
connectedComponent0063;1;0;1;1;0;
connectedComponent0064;1;1;1;1;1;
connectedComponent0065;0;0;1;1;0;
connectedComponent0066;0;0;1;1;0;
connectedComponent0067;0;0;1;1;0;
connectedComponent0068;1;1;1;1;1;
connectedComponent0069;0;0;1;1;0;
connectedComponent0070;0;1;1;1;0;
connectedComponent0071;1;1;1;1;1;
connectedComponent0072;1;1;1;1;0;
connectedComponent0073;1;1;1;1;0;
connectedComponent0074;0;0;1;1;0;
